PROBABILIDAD Y APLICACIONES ESTADISTICAS	MEYER	1992	519.2	M613	313
PROBABILIDAD Y APLICACIONES ESTADISTICAS	MEYER	1992	519.2	M613	312
PROBABILIDAD Y APLICACIONES ESTADISTICAS	MEYER	1986	519.2	M613	310
PROBABILIDAD Y APLICACIONES ESTADISTICAS	MEYER	1986	519.2	M613	309
PROBABILIDAD Y ESTADISTICA 	GEORGE C. CANAVOS	1996	519.2	C213	4120
PROBABILIDAD Y ESTADISTICA 	GEORGE C. CANAVOS	1999	519.2	C213	4121
PROBABILIDAD Y ESTADISTICA 	GEORGE C. CANAVOS	1999	519.2	C213	4119
PROBABILIDAD Y ESTADISTICA 	GEORGE C. CANAVOS	1999	519.2	C213	4122
PROBABILIDAD Y ESTADISTICA 	GEORGE C. CANAVOS	1988	519.2	C213	303
PROBABILIDAD Y ESTADISTICA 	MONTGOMERY-  RUNGER	2000	519.2	M757p	3957
PROBABILIDAD Y ESTADISTICA 	MONTGOMERY-  RUNGER	2000	519.2	M757p	3957
PROBABILIDAD Y ESTADISTICA 	MONTGOMERY-  RUNGER	2000	519.2	M757p	3957
PROBABILIDAD Y ESTADISTICA 	MONTGOMERY-  RUNGER	2000	519.2	M757p	3957
PROBABILIDAD Y ESTADISTICA 	MONTGOMERY-  RUNGER	2000	519.2	M757p	3957
PROBABILIDAD Y ESTADISTICA 	WALPOLE -MYERS	1998	519.2	W218p	7880
PROBABILIDAD Y ESTADISTICA 	WALPOLE -MYERS	2000	519.2	W218p	7881
PROBABILIDAD Y ESTADISTICA 	WALPOLE -MYERS	1998	519.2	W218p	7887
SIMULACION	SHELDON M. ROSS	1999	519.2	R826	8828
SIMULACION	SHELDON M. ROSS	1999	519.2	R826	8044
SIMULACION	SHELDON M. ROSS	1999	519.2	R826	8827
SIMULACION	SHELDON M. ROSS	1999	519.2	R826	8829
