COSTO Y TIEMPO EN EDIFICACION;CARLOS SUAREZ SALAZAR;2001;658.159.69;S 939;157
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1832
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1383
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1384
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1385
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1386
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1387
CRITERIOS DE EVALUACION DE PROYECTOS. COMO MEDIR LA RENTABILIDAD DE LAS INVERSIONES;NASSIR SAPAG CHAIN;1993;658.404;S 241;1675
DESARROLLO DE SISTEMAS DE INFORMACION;JUAN BRAVO C.;1988;658.403.88;B 826;2287
DESARROLLO ORGANIZACIONAL;WENDELL L. FRENCH;1996;658.3;F 876;8100
DESARROLLO ORGANIZACIONAL. PRINCIPIOS Y APLICACIONES;RAFAEL GUIZAR M.;1998;658.3;G 969;6314
DESARROLLO ORGANIZACIONAL. VALORES, PROCESO Y TECNOLOGIA;NEWTON MARGULIES;1998;658.3;M 331;8067
DESARROLLO ORIENTADO A OBJETOS.  SISTEMAS DE INFORMACION PARA LA REINGENIERIA;OSCAR BARROS V.;1995;658.403.88;B 277d;8074
DESARROLLO ORIENTADO A OBJETOS.  SISTEMAS DE INFORMACION PARA LA REINGENIERIA;OSCAR BARROS V.;1995;658.403.88;B 277d;8699
DIAGNOSTICO ORGANIZACIONAL;DARIO RODRIGUEZ MANSILLA;1998;658.406;R 696d;9075
DIRECCION DE LA PRODUCCION;JAY HEIZER;1997;658.5;H 473de;9110
DIRECCION DE LA PRODUCCION;JAY HEIZER;1997;658.5;H 473de;9112
DIRECCION DE MARKETING;PHILIP KOTLER;2001;658.8;K 87;9089
DIRECCION DE MARKETING. FUNDAMENTOS Y APLICACIONES;JAIME RIVERA CAMINO;2009;658.8;R 621d;14244
DIRECCION DE MERCADOTECNIA. ANALISIS, PLANEACION Y CONTROL;PHILIP KOTLER;1980;658.8;K 87dm;1070
DIRECCION DE MERCADOTECNIA. ANALISIS, PLANEACION Y CONTROL;PHILIP KOTLER;1980;658.8;K 87dm;1071
DIRECCION DE MERCADOTECNIA. ANALISIS, PLANEACION Y CONTROL;PHILIP KOTLER;1987;658.8;K 87dm;1069
DIRECCION DE OPERACIONES;JOSE ANTONIO DOMINGUEZ;1995;658.542;D 671;1766
DIRECCION DE OPERACIONES VOL. 1;ELWOOD S. BUFFA;1987;658.542;B 929d;8071
DIRECCION DE OPERACIONES VOL. 2;ELWOOD S. BUFFA;1987;658.542;B 929d;8072
