ARGUMENTACION, COMUNICACIÓN Y FALACIAS;FRANS H. VAN EEMEREN;2002;401.4;E 17a;9493;
ORTOGRAFIA PRACTICA DE LA LENGUA ESPAÑOLA;JUAN LUIS FUENTES DE LA CORTE;1994;465;F 954;8134;
ORTOGRAFIA PRACTICA DE LA LENGUA ESPAÑOLA;JUAN LUIS FUENTES DE LA CORTE;1994;465;F 954;8135;
ORTOGRAFIA PRACTICA DE LA LENGUA ESPAÑOLA;JUAN LUIS FUENTES DE LA CORTE;1994;465;F 954;8136;
PERICIA CALIGRAFICA GRAFOLOGICA;OSCAR VENTURINI;2005;465;V 469p;12493;
PERICIA CALIGRAFICA GRAFOLOGICA;OSCAR VENTURINI;2005;465;V 469p;12494;
REDACCION - textos de Docencia Universitaria ;IVAN SANDOVAL FUENZALIDA;1999;466;S 218;8468;
REDACCION - textos de Docencia Universitaria ;IVAN SANDOVAL FUENZALIDA;1999;466;S 218;8469;
REDACCION - textos de Docencia Universitaria ;IVAN SANDOVAL FUENZALIDA;1999;466;S 218;8470;
REDACCION - textos de Docencia Universitaria ;IVAN SANDOVAL FUENZALIDA;1999;466;S 218;10776;
TEORIA DEL LENGUAJE Y LINGÜÍSTICA GENERAL;EUGENIO COSERIU;1989;410;C 834;6479;
