AN INTRODUCTION TO MARINE BIOCHEMISTRY;SUSAN M. LIBES;1992;623.83;L 694a;9370
CRIMINOLOGIA Y DELINCUENCIA FEMENINA EN CHILE;DORIS COOPER MAYR;2002;634.374;C 776c;12510
CULTIVO DE MOLUSCOS BIVALVOS;P. R. WALNE;1980;639.4;V 217;2785
NUEVA ENCICLOPEDIA TEMATICA PLANETA. ARTE Y FILOSOFIA;F. GIMENO;1991;709;G 491;3519
SILVICULTURA DE PLANTACIONES MADERABLES T.1;DOMINGO COZZO;1995;634.95;C 882;9452
SILVICULTURA DE PLANTACIONES MADERABLES T.1;DOMINGO COZZO;1995;634.95;C 882;6765
SILVICULTURA DE PLANTACIONES MADERABLES T.1;DOMINGO COZZO;1995;634.95;C 882;6766
SILVICULTURA DE PLANTACIONES MADERABLES T.2;DOMINGO COZZO;1995;634.95;C 882;9453
SILVICULTURA DE PLANTACIONES MADERABLES T.2;DOMINGO COZZO;1995;634.95;C 882;6767
SILVICULTURA DE PLANTACIONES MADERABLES T.2;DOMINGO COZZO;1995;634.95;C 882;6768
PSICOLINGUISTICA. CHOMSKY Y LA PSICOLOGIA;JUDITH GREENE;1980;401.9;G 811;2599
PSICOLINGUISTICA. CHOMSKY Y LA PSICOLOGIA;JUDITH GREENE;1980;401.9;G 811;2600
CONSTRUCCION. COMO FUNCIONA UN EDIFICIO. PRINCIPIOS ELEMENTALES ;EDWARD ALLEN;1982;721.04;G 474;S/INV.
RESISTENCIA DE MATERIALES;FERDINAND L. SINGER;1982;620.112;S 617;1104
GUIA PARA LA INNOVACION TECNOLOGICA EN LA CONSTRUCCION;VIRGILIO GHIO C.;1998;690.1;G 964;S/INV.
TECNICO EN PISCIFACTORIAS. T.1;ANA VAQUERO;2002;639.34;V 121p;3606
IMAGEN E IDEA ;HERBERT READ;1993;701;R282;1224
IMAGEN E IDEA ;HERBERT READ;1993;701;R282;1227
IMAGEN E IDEA ;HERBERT READ;1993;701;R282;1223
IMAGEN E IDEA ;HERBERT READ;1993;701;R282;1225
