CURSO DE PROGRAMACION;JORGE CASTRO ;1993;001.642.4;C 355;5229
CURSO DE PROGRAMACION;JORGE CASTRO ;1993;001.642.4;C 355;5194
CURSO RAPIDO DE MICROSOFT  POWER POINT 2000;MICROSOFT PRESS;2000;001.6;M 619 ;4184
CURSO RAPIDO DE MICROSOFT WORD 2000;MICROSOFT PRESS;2000;001.6;M 619 cur;4185
CURSO RAPIDO EXCEL 2000;JOYCE COX;1999;001.61;M 619 c;4187
d BASE III PLUS MANUAL  DE REFERENCIA;JOSEPH- DAVIS CARRABIS;1992;001.642.4;C 313;14680
DESARROLLO DE ALGORITMOS Y SUS APLICACIONES;G CORREA;1997;001.6;C 824;6535
DESARROLLO DE ALGORITMOS Y SUS APLICACIONES;G CORREA;1997;001.6;C 824;6533
DESARROLLO DE ALGORITMOS Y SUS APLICACIONES;G CORREA;1997;001.6;C 824;6536
DESARROLLO DE ALGORITMOS Y SUS APLICACIONES;G CORREA;1997;001.6;C 824;6532
DESARROLLO DE ALGORITMOS Y SUS APLICACIONES;CORREA URIBE GUILLERMO;1997;001.6;C 824;6534
DESARROLLO DE SISTEMAS DE INFORMACION;JUAN BRAVO;1988;025.06;B 826;14719
DHTML DINAMICO;GULBRANSEN DAVID;1998;001.2;G 971 d;10892
DIAGRAMAS DE FLUJO;MARIO V. FARINA;1996;001.61;F 225;6602
DIAGRAMAS DE FLUJO;MARIO V. FARINA;1996;001.61;F 225;6603
DIAGRAMAS DE FLUJO;MARIO V. FARINA;1996;001.61;F 225;6605
DIAGRAMAS DE FLUJO;MARIO V. FARINA;1996;001.61;F 225;6606
DIAGRAMAS DE FLUJO;MARIO V. FARINA;1996;001.61;F 225;6604
DIAGRAMAS DE FLUJO - MANUAL DE LÓGICA PARA COMPUTADORES;NANCY B. STERN;1984;001.61;S 839;2797
DISEÑO DE BASE DE DATOS ;GIO WIEDERHOLD;1988;025.06;W 643;14721
DISEÑO DE PROGRAMAS;R PEÑA;1998;001.6;P419;8270
DISEÑO DE PROGRAMAS;R PEÑA;1998;001.6;P419;8268
DISEÑO DE PROGRAMAS;R PEÑA;1998;001.6;P419;8215
DISEÑO DE PROGRAMAS;R PEÑA;1998;001.6;P419;8269
DISEÑO DE PROGRAMAS;R PEÑA;1998;001.6;P419;8271
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;6191
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;6322
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;6287
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;6689
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;5942
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;6323
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;5943
DISEÑO DIGITAL  PRINCIPIOS Y PRACTICAS;JOHN F. WAKERLY ;2001;001;W 146 d;6286
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8213
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8338
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8339
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8341
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8342
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8345
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8343
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8344
DISEÑO Y ADMINISTRACION DE BASES DE DATOS;G HANSEN;1997;001.61;H 24;8346
EL ARTE DE PROGRAMAR ORDENADORES;D.E. KNUTH;1987;001.642.4;K 74 a;2002
EL ENFOQUE DE SISTEMAS;V GEREZ;1976;001.61;G 367;2861
EL GRAN LIBRO DE MULTIMEDIA;FRATER HARALD;1995;001;F 844;6423
EL GRAN LIBRO DE MULTIMEDIA;FRATER HARALD;1995;001;F 844;6423
EL GRAN LIBRO DE MULTIMEDIA;FRATER HARALD;1995;001;F 844;6424
EL GRAN LIBRO DE MULTIMEDIA;FRATER HARALD;1995;001;F 844;6425
EL ORDENADOR EN EL AULA;EGIDIO PENTIRARO;1984;001;P 419;2796
EL PARADIGMA;JULIE BICK;2001;001.4;J 583 p;504
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / HARDWARE;LOPEZ ANTONIO ;1997;001;L 864 h;7277
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / HARDWARE;LOPEZ ANTONIO ;1997;001;L 864 h;7276
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / MULTIMEDIA ;LOPEZ ANTONIO ;1997;001;L 864 m;7268
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / MULTIMEDIA ;LOPEZ ANTONIO ;1997;001;L 864 m;7269
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / OFIMATICA;LOPEZ ANTONIO ;1997;001;L 864 o;7279
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / OFIMATICA;LOPEZ ANTONIO ;1997;001;L 864 o;5255
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / SOFTWARE;LOPEZ ANTONIO ;1997;001;L 864 s;5260
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION / SOFTWARE;LOPEZ ANTONIO ;1997;001;L 864 s;7273
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION /DEONTOLOGIA INFORMATICA;LOPEZ ANTONIO ;1997;001;L 864 d;5259
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION /DEONTOLOGIA INFORMATICA;LOPEZ ANTONIO ;1997;001;L 864 d;7267
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION-TELEINFORMATICA;LOPEZ ANTONIO;1997;001;L 864;7275
ENCICLOPEDIA DE INFORMATICA Y COMPUTACION-TELEINFORMATICA;LOPEZ ANTONIO;1997;001;L 864;5254
ENCICLOPEDIA PRACTICA DE LA INFORMATICA APLICADA;ALFONSECA MANUEL;1986;001535;A 388;2791
ENCICLOPEDIA PRACTICA DE LA INFORMATICA APLICADA;ALFONSECA MANUEL;1986;001535;A 388;2792
ENCLOP. DE INF. Y COMP/INGENIERIA DEL SOFTWARE E INTELIGENCIA ARTIFICIAL;LOPEZ ANTONIO ;1997;001;L 864 i;7271
ENCLOP. DE INF. Y COMP/INGENIERIA DEL SOFTWARE E INTELIGENCIA ARTIFICIAL;LOPEZ ANTONIO ;1997;001;L 864i;5257
ESTRUCTURA   DE DATOS EN PASCAL;AARON TENENBAUM;1983;001.6;T 297;14670
ESTRUCTURA   DE DATOS EN PASCAL;AARON TENENBAUM;1983;001.6;T 297;14673
ESTRUCTURA  DE DATOS -LIBRO DE PROBLEMAS;LUIS JOYANES AGUILAR;1999;001.6;J 88 e;9318
ESTRUCTURA  DE DATOS -LIBRO DE PROBLEMAS;LUIS JOYANES AGUILAR;1999;001.6;J 88 e;9319
ESTRUCTURA  DE DATOS -LIBRO DE PROBLEMAS;LUIS JOYANES AGUILAR;1999;001.6;J 88 e;144669
ESTRUCTURA DE DATOS PASCAL;AARON TENENBAUM;1983;001.642.4;T 292;1001
ESTRUCTURA DE DATOS PASCAL;AARON TENENBAUM;1983;001.642.4;T 292;1002
ESTRUCTURA DE DATOS PASCAL;AARON TENENBAUM;1983;001.642.4;T 292;1003
ESTRUCTURA DE DATOS PASCAL;AARON TENENBAUM;1983;001.642.4;T 292;1004
ESTRUCTURA DE DATOS PASCAL;AARON TENENBAUM;1983;001.642.4;T 292;1005
ESTRUCTURA DE DATOS PASCAL;AARON TENENBAUM;1983;001.642.4;T 292;1600
ESTRUCTURA DE DATOS Y DISEÑO DE PROGRAMAS;ROBERT L. KRUSE;1988;001.6;K 94;701
ESTRUCTURA DE DATOS Y DISEÑO DE PROGRAMAS;ROBERT L. KRUSE;1988;001.6;K 94;697
ESTRUCTURA DE DATOS Y DISEÑO DE PROGRAMAS;ROBERT L. KRUSE;1988;001.6;K 94;702
ESTRUCTURA DE DATOS Y ORGANIZACIÓN DE ARCHIVOS;MARY E. S. LOOMIS;1994;001.6;L 845;1596
ESTRUCTURA DE DATOS Y ORGANIZACIÓN DE ARCHIVOS;MARY E. S. LOOMIS;1994;001.6;L 845;5034
ESTRUCTURA DE DATOS Y ORGANIZACIONES DE ARCHIVOS;VICTOR L. PEREZ;1992;001.6;P 438;14671
ESTRUCTURA DE DATOS Y ORGANIZACIONES DE ARCHIVOS;VICTOR L. PEREZ;1992;001.6;P 438;14672
ESTRUCTURA DE DATOS Y ORGANIZACIONES DE ARCHIVOS;VICTOR L. PEREZ;1992;001.6;P 415 e;5603
ESTRUCTURA DE DATOS Y ORGANIZACIONES DE ARCHIVOS;VICTOR L. PEREZ;1992;001.6;P 415 e;746
ESTRUCTURA DE DATOS Y ORGANIZACIONES DE ARCHIVOS;VICTOR L. PEREZ;1992;001.6;P 415 e;748
ESTRUCTURACION Y PROCESO DE DATOS;IVAN FLORES;1985;001.6;F 634;2789
ESTRUCTURAS DE DATOS ;O. CAIRO;1998;001.6;C 136;6452
ESTRUCTURAS DE DATOS ;O. CAIRO;1998;001.6;C 136;6455
ESTRUCTURAS DE DATOS ;O. CAIRO;1998;001.6;C 136;6453
ESTRUCTURAS DE DATOS ;O. CAIRO;1998;001.6;C 136;6454
ESTRUCTURAS DE DATOS ;O. CAIRO;2001;001.6;C 136 e;9440
ESTRUCTURAS DE DATOS ;O. CAIRO;2001;001.6;C 136 e;9442
ESTRUCTURAS DE DATOS ;O. CAIRO;2001;001.6;C 136 e;9443
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 285;14668
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 286;5089
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 286;4020
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 286;4005
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 286;4019
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 286;8127
ESTRUCTURAS DE DATOS Y ALGORITMOS;ALFRED AHO;1988;001.6;A 286;4018
ESTRUCTURAS DE DATOS Y ALGORITMOS;MARK ALLEN WEISS;1995;001.6;A 432 e;10651
ESTRUCTURAS DE DATOS Y ALGORITMOS;MARK ALLEN WEISS;1995;001.6;A432e;9753
ESTRUCTURAS DE MATEMATICAS DISCRETAS PARA LA COMPUT.;BERNARD KOLMAN;2000;001.64;K 81;2000
EXCEL  FOR MASTERS MACROS Y APLICACIONES VBA;CESAR OCEDA SAMANIEGO;2011;001.642.5;OC 15 e;14328
EXCEL 4 PARA WINDOS;STEPHEN L. NELSON;1993;001.642.5;N 431;1008
EXCEL 5.0 PARA WINDOWS ;MIGUEL RODRIGUEZ ALMEIDA;1994;001.642.5;R696;1009
EXCEL AVANZADO M<CROS Y PROGRAMACION VBA;HUGO RUIZ;2011;001.642.5;R 934;14331
EXCEL CONTABLE;CESAR OCEDA SAMANIEGO;2011;001.642.5;OC 15 e.c;14326
EXCEL CONTABLE;CESAR OCEDA SAMANIEGO;2011;001.642.5;OC 15 e.c;14325
EXCEL GESTION FINANCIERA;JOHNNY PACHECO;2011;001.642.5;P 116 e.g;14319
FORTRAN PARA LA INGENIERIA;WILLIAM  SCHICK;1974;001.642.4;S 331;2086
FUNDAMENTOS  DE INFORMATICA;ALLEN TUCKER;1994;001;T 891;5195
FUNDAMENTOS  DE INFORMATICA;ALLEN TUCKER;1994;001;T 891;5211
FUNDAMENTOS DE ALGORITMIA;G  BRASSARD;1997;001.6;B 823;8283
FUNDAMENTOS DE ALGORITMIA;G  BRASSARD;1997;001.6;B 823;8285
FUNDAMENTOS DE BASES DE DATOS ;A. SILBERSCHATZ;1999;001;S 582 f;9311
FUNDAMENTOS DE BASES DE DATOS ;A. SILBERSCHATZ;1999;001;S 582 f;9312
FUNDAMENTOS DE COMPILADORES;KAREN A. LEMONE;1996;001.645.05;L 556 f;10654
FUNDAMENTOS DE LOS MICROPROCESADORES;ROGER  L. TOKHEIM;1998;001;T 846;8937
FUNDAMENTOS DE SISTEMAS DIGITALES;T.L. FLOYD;1998;003;F 645;7139
FUNDAMENTOS DE SISTEMAS DIGITALES;T.L. FLOYD;1998;003;F 645;7140
FUNDAMENTOS FISICOS DE LA INFORMATICA Y LAS COMUNICACIONES;LUIS MONTOTO;2005;001;M 798 f;14337
GEOMETRIA DE TORTUGA;HAROLD ABELSON;1986;001.642.4;A 141;3547
GESTION DE PROYECTOS  CON PROJECT,EXCEL Y VISIO;LUIS ANGULO AGUIRRE;2010;001.6;AN 594 g.r;14320
GUIA DE TRABAJO EN RED CON WINDOWS 98;BRADLEY F. SHIMMIN;1999;001.644.04;S 556;14707
GUIA DEL PROGRAMADOR PARA EL IBM PC;PETER NORTON;1987;001.642.5;N 886;3713
HACKERS ;STUART Mc CLURE;2000;005.8;M 132 h;9155
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1986;001;S 215;1313
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1986;001;S 215;1314
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1986;001;S 215;1313
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1990;001;S 215 i;4115
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1990;001;S 215 i;1316
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1990;001;S 215 i;1315
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1990;001;S 215 i;8567
INFORMATICA PRESENTE Y FUTURO;DONALD H. SANDERS;1990;001;S 215 i;4116
INGENIERIA DE SOFTWARE;IAN SOMMERVILLE;1988;001.642.5;S 696;14706
INGENIERIA DE SOFTWARE;GONZALO CUEVAS;1991;005.3;C 965;5041
INGENIERIA DE SOFTWARE;GONZALO CUEVAS;1991;005.3;C 965;5261
INGENIERIA DE SOFTWARE;GONZALO CUEVAS;1991;005.3;C 965;5262
INGENIERIA DE SOFTWARE;RICHARD FAIRLEY;1987;005.1;F 232;1152
INGENIERIA DE SOFTWARE;RICHARD FAIRLEY;1987;005.1;F 232;1153
INGENIERIA DE SOFTWARE;RICHARD FAIRLEY;1987;005.1;F 232;1154
INGENIERIA DE SOFTWARE ;IAN SOMMERVILLE;1988;005.3;S 697 i;1151
